scenario,seed,policy,unit,unit_type,explored_area_km2,first_coverage_area_km2,damage_hits,kill_credit,targets_damaged,alive,death_time,death_cause
L5_40,301,harness,white_usv5,USV,13225.0,1475.0,2,1,3,False,9589,unknown
L5_40,301,harness,white_uav2,UAV,59400.0,19275.0,0,0,0,True,,
L5_40,301,harness,white_uav3,UAV,57650.0,13975.0,0,0,0,True,,
L5_40,301,harness,white_uav1,UAV,52825.0,17075.0,0,0,0,True,,
L5_40,301,harness,white_uav4,UAV,59700.0,25250.0,0,0,0,True,,
L5_40,301,harness,white_uav5,UAV,60750.0,25775.0,0,0,0,True,,
L5_40,302,harness,white_usv1,USV,12725.0,1500.0,1,1,4,False,8982,unknown
L5_40,302,harness,white_usv5,USV,22750.0,1650.0,18,0,11,True,,
L5_40,302,harness,white_usv3,USV,23325.0,50.0,8,4,9,True,,
L5_40,302,harness,white_usv2,USV,12500.0,0.0,3,2,3,False,8720,unknown
L5_40,302,harness,white_usv4,USV,22775.0,0.0,8,12,13,True,,
L5_40,302,harness,white_uav1,UAV,53600.0,14175.0,0,0,0,False,25081,unknown
L5_40,302,harness,white_uav4,UAV,50875.0,23100.0,0,0,0,False,25081,unknown
L5_40,302,harness,white_uav3,UAV,50000.0,11375.0,0,0,0,False,25081,unknown
L5_40,302,harness,white_uav2,UAV,52400.0,8550.0,0,0,0,False,25081,unknown
L5_40,302,harness,white_uav5,UAV,60150.0,38225.0,0,0,0,False,25081,unknown
L5_40,303,harness,white_usv5,USV,14400.0,1500.0,12,4,10,True,,
L5_40,303,harness,white_usv1,USV,12675.0,1475.0,5,0,6,False,10212,unknown
L5_40,303,harness,white_usv4,USV,15000.0,0.0,7,4,10,True,,
L5_40,303,harness,white_usv2,USV,12500.0,0.0,13,2,6,False,10032,unknown
L5_40,303,harness,white_usv3,USV,15275.0,0.0,3,10,12,False,15876,unknown
L5_40,303,harness,white_uav5,UAV,26475.0,10350.0,0,0,0,True,,
L5_40,303,harness,white_uav1,UAV,26775.0,10925.0,0,0,0,True,,
